delta,theta,lowAlpha,highAlpha,lowBeta,highBeta,lowGamma,highGamma
36385,51789,50165,5227,9123,2191,645,731
38290,21156,17380,67552,165102,4133,1110,703
121232,145459,827,10330,2416,2724,780,450
57416,51374,12060,12739,7192,2866,706,734
12965,101026,12698,65228,29055,4411,1370,812
11910,135987,38184,21525,22387,8959,1427,570
105220,68572,133869,149019,67722,5939,1378,682
34133,34312,9246,34142,99349,3460,1461,1244
105816,218612,38862,11854,8079,3082,668,694
40616,44790,30719,15971,22588,4233,767,678
404428,143682,12515,85958,67518,13671,4519,5752
36003,99933,14216,30093,9353,6275,1364,680
67484,21461,21767,19160,8705,3124,1387,822
28789,25584,28261,38457,7761,6841,949,477
27018,91126,64187,50525,16027,9339,1533,584
66222,30560,12122,6413,3421,3225,1539,963
43199,48444,12863,10552,9865,1547,1292,351
9212,20386,10900,10367,7249,4081,1089,701
13244,47879,5246,29476,8458,2207,2018,860
28626,37858,99462,14500,8428,1859,1733,732
19022,83558,19259,6423,7223,2441,348,1859
56652,16102,15166,9592,3446,2216,837,718
51544,28456,5736,20301,11143,3880,1247,915
527722,49493,21892,211186,53578,2479,1515,663
77032,40067,23996,65906,9931,2588,1065,616
48981,28590,26266,23585,4735,1923,806,972
60897,39895,4728,49963,67322,4532,936,1327
99106,92028,60152,152801,36043,4026,2668,558
9435,53533,34501,91497,7652,4368,1737,982
34593,14616,10049,16276,3783,2163,1036,477
21748,50826,4824,33131,7461,2292,888,775
30191,33617,37611,25195,10841,2286,729,799
105707,16130,84821,40933,126836,4709,1162,697
60128,38794,26027,43561,17039,3529,684,1000
125820,13196,36120,50157,3851,3376,945,1293
76254,70810,87288,52107,6462,1470,1408,968
81729,28822,163966,350971,17674,6722,983,1816
142563,69653,55509,76612,24284,4011,1506,1164
105408,19438,16023,23686,25218,5289,1131,1041
36460,4888,30112,12041,8564,5435,812,1115
15634,55612,22759,8772,7886,1903,886,1319
41473,57531,53712,93882,89269,7778,786,785
24880,152566,42211,31996,14029,2360,1668,364
22419,32825,9975,7233,4234,2207,619,722
74176,71246,18353,65525,19395,2490,1028,819
16869,59069,11103,42398,19962,10419,983,796
41496,72562,39712,15552,13099,2831,1080,936
30402,34052,14749,3631,3155,4633,1095,1228
81349,84303,3110,118837,26719,4875,795,503
44901,59482,18634,50613,9908,1306,1293,515
39701,27798,51426,55425,8265,3650,1237,620
64934,38415,39963,19438,4799,3142,573,664
65978,62008,1499,23551,6938,1617,1164,578
49766,87746,43253,134285,73885,5776,815,1413
97911,37374,23319,64893,8526,4762,858,469
47900,28655,5694,31325,12837,4499,1689,353
24520,82137,2013,7363,2526,1232,745,623
55110,51709,8667,10435,7083,1543,1376,777
26448,30747,15600,14979,16891,5132,3932,679
118798,72749,36834,26809,3021,2791,1856,792
73768,67237,7392,17530,33676,3359,440,657
66224,62722,19003,36500,12687,5975,1868,1517
28420,51730,11952,16456,16355,2196,1249,549
133071,38215,23637,27424,5399,2981,1072,880
28341,40206,28529,30867,14530,3526,1084,1820
391781,137339,26480,138889,158319,4439,2806,1510
136770,124762,44851,88683,31103,4992,1277,1343
79865,122598,11981,17589,1739,2765,973,1123
46983,22915,14143,14093,9426,2588,679,544
30082,41530,11298,12451,6000,1953,1252,880
53135,31514,14967,12076,2697,4043,731,1154
25050,31990,29443,2207,4048,3829,2720,505
46333,31101,17477,24967,58660,3680,657,670
29148,44921,222,43037,5197,1730,555,523
25382,51916,39916,24990,14002,3975,1687,997
21738,40183,16165,21373,6407,3724,1078,1168
47304,69283,39961,29308,29330,1840,1173,706
54110,41808,8212,89053,3334,2288,450,902
33675,41803,25306,43646,7253,6155,1359,577
53567,72346,42415,19992,10180,1557,1526,971
29275,88123,8931,18035,15599,3404,1413,994
67874,50731,23093,48442,18475,4329,1535,396
43368,44744,36181,24599,51581,2997,1650,605
147359,55519,126144,20041,11321,3285,2138,739
123216,20543,12518,4630,1354,1457,626,167
25657,16981,33662,33639,3511,1791,1333,805
21029,89487,49999,94836,98520,4018,1214,655
85248,11060,4666,9985,1519,1567,176,223
476120,26681,6988,124513,72801,1388,1242,1160
76764,61563,25745,135784,60360,3205,1049,930
175105,32747,2449,43073,10696,2847,791,920
26733,33792,19878,10584,6461,3184,341,1136
62735,45318,35694,11095,5861,1959,460,554
67033,16728,35788,13512,6869,3059,878,580
83058,76016,47860,58572,8616,1180,1470,1149
