meditation,delta,theta,lowAlpha,highAlpha,lowBeta,highBeta,lowGamma,highGamma,result
73 ,94873 ,19386 ,8984 ,32344 ,8984 ,5462 ,4396 ,2997 ,1 
72 ,74436 ,20135 ,9250 ,27056 ,9250 ,5582 ,5725 ,2710 ,1 
69 ,157966 ,35028 ,15198 ,21459 ,15198 ,5876 ,5946 ,3680 ,1 
64 ,132882 ,35265 ,15225 ,12199 ,15225 ,5926 ,6296 ,5438 ,1 
57 ,183387 ,42572 ,17857 ,15884 ,17857 ,5958 ,6816 ,4936 ,1 
50 ,166945 ,45415 ,16810 ,14377 ,16810 ,6557 ,7380 ,5643 ,1 
48 ,155412 ,41113 ,19171 ,22093 ,19171 ,7038 ,9256 ,5879 ,1 
50 ,95571 ,37058 ,15997 ,24274 ,15997 ,6335 ,9441 ,4850 ,1 
55 ,109645 ,37970 ,16422 ,29099 ,16422 ,6415 ,8845 ,3076 ,1 
59 ,61862 ,30466 ,17357 ,31201 ,17357 ,7077 ,7667 ,3190 ,1 
66 ,52611 ,28852 ,14295 ,39308 ,14295 ,5702 ,7847 ,3234 ,1 
67 ,65795 ,29982 ,11861 ,29462 ,11861 ,5894 ,4567 ,3519 ,1 
65 ,49553 ,23060 ,9530 ,25604 ,9530 ,5964 ,3773 ,3649 ,1 
63 ,35074 ,19061 ,10215 ,25422 ,10215 ,5635 ,3731 ,3378 ,1 
62 ,34711 ,16631 ,6872 ,36051 ,6872 ,4748 ,3629 ,3305 ,1 
62 ,35152 ,19187 ,7266 ,36722 ,7266 ,4762 ,3424 ,3023 ,1 
67 ,21804 ,16441 ,8213 ,37873 ,8213 ,4147 ,3486 ,2581 ,1 
74 ,115128 ,13046 ,18396 ,37265 ,18396 ,4074 ,3455 ,2499 ,1 
74 ,230891 ,23655 ,16424 ,33196 ,16424 ,4723 ,3426 ,4151 ,1 
71 ,242322 ,25888 ,16048 ,14082 ,16048 ,4681 ,3695 ,4049 ,1 
62 ,239845 ,23127 ,13377 ,5617 ,13377 ,5436 ,2976 ,3428 ,1 
52 ,245767 ,30827 ,15155 ,12385 ,15155 ,5576 ,3337 ,3451 ,1 
43 ,181575 ,46239 ,7556 ,24026 ,7556 ,7144 ,4461 ,3664 ,1 
45 ,73919 ,37924 ,15078 ,42918 ,15078 ,7805 ,4501 ,2086 ,1 
51 ,62105 ,34695 ,15180 ,47034 ,15180 ,8747 ,5788 ,2096 ,1 
61 ,61400 ,32857 ,16683 ,48661 ,16683 ,8032 ,6154 ,2398 ,1 
70 ,67925 ,26350 ,14413 ,43365 ,14413 ,7841 ,5497 ,2170 ,1 
75 ,31461 ,9039 ,12037 ,33233 ,12037 ,5942 ,4688 ,1770 ,1 
76 ,29519 ,7590 ,6093 ,14017 ,6093 ,4588 ,4929 ,1913 ,1 
74 ,43155 ,10937 ,5643 ,12613 ,5643 ,4217 ,3450 ,1599 ,1 
70 ,52414 ,12265 ,5099 ,15537 ,5099 ,4242 ,3389 ,1254 ,1 
64 ,40084 ,13190 ,5692 ,12233 ,5692 ,4682 ,3810 ,1328 ,1 
62 ,47870 ,13513 ,5288 ,16620 ,5288 ,4703 ,3556 ,1648 ,1 
62 ,64482 ,15410 ,4164 ,21391 ,4164 ,5142 ,3186 ,1512 ,1 
61 ,67706 ,14304 ,6372 ,18501 ,6372 ,5176 ,3256 ,1973 ,1 
62 ,92400 ,16091 ,7045 ,14307 ,7045 ,4681 ,2613 ,2010 ,1 
62 ,139624 ,22611 ,11895 ,15895 ,11895 ,5299 ,2170 ,1932 ,1 
57 ,219128 ,44930 ,12156 ,14945 ,12156 ,6615 ,2847 ,1710 ,1 
52 ,408507 ,58135 ,21994 ,14828 ,21994 ,9739 ,3442 ,2642 ,1 
50 ,432068 ,60460 ,22539 ,21465 ,22539 ,9375 ,3620 ,2560 ,1 
48 ,471625 ,68605 ,24403 ,28832 ,24403 ,10345 ,4334 ,2525 ,1 
50 ,433708 ,60669 ,18639 ,28635 ,18639 ,8825 ,4013 ,2468 ,1 
55 ,399582 ,49665 ,20840 ,31700 ,20840 ,7360 ,3479 ,2368 ,1 
58 ,190402 ,39036 ,12164 ,30874 ,12164 ,3957 ,3255 ,1473 ,1 
61 ,152212 ,38755 ,11886 ,30906 ,11886 ,5852 ,2971 ,1335 ,1 
62 ,82524 ,29634 ,10967 ,22718 ,10967 ,6398 ,2803 ,1787 ,1 
