delta,theta,lowAlpha,highAlpha,lowBeta,highBeta,lowGamma,highGamma,attention
236337,38313,6205,10850,2588,2492,2599,700,63
45153,25782,682,12622,6558,6867,2730,3152,69
109938,40465,17930,11288,13265,7702,4164,3488,66
895697,367679,105015,17936,11097,17734,7726,4830,64
614828,1393221,54570,46093,34651,21640,18709,5386,40
125163,38192,17538,7167,1776,2108,694,821,26
153199,11857,18157,6744,2576,2846,954,714,23
235584,113275,11263,21858,8222,7742,2107,3192,26
65266,17201,7144,21832,8702,6819,3945,2404,47
187212,87045,11607,22369,4765,14078,5635,2499,56
75285,255640,39638,24549,13053,9200,4898,2262,48
271634,65169,103773,20984,13921,7610,6141,5372,44
1557188,187238,45356,65798,54942,11793,5036,5329,34
313729,30438,12509,2804,3744,2241,616,294,26
81157,63120,45468,22475,20133,3913,3195,2725,26
418912,106452,11877,3691,1989,8938,1964,2311,30
39058,41146,32981,19076,8035,9161,2634,1191,40
78542,96905,46935,7048,5691,3993,2487,1084,35
137973,21709,109662,12025,2796,3123,3666,890,30
57202,31007,19436,9709,9982,8956,5288,2603,38
41810,26826,1933,9021,7863,869,1259,667,24
115804,54487,11978,6154,5001,6867,2151,2350,37
41380,46847,12339,27209,6895,19532,9093,3383,54
61596,69910,59148,24692,10841,12793,9450,9834,50
898800,161451,25076,14568,20943,3634,5397,3777,50
140300,109146,48344,17135,8420,8768,13058,3652,44
115918,25472,8068,17420,11577,2540,4307,1858,30
171687,128237,224308,8705,14312,23007,3190,3662,29
37186,52396,34206,15585,4752,5494,5823,4461,38
80664,35062,5844,9582,12498,3942,2724,3040,41
34216,61813,106198,11561,6038,4123,3609,1674,37
91909,13086,3714,3970,5676,2859,738,591,43
51723,62993,52018,15947,19209,8401,7566,2964,44
19915,16753,20736,3158,13100,3076,2418,1449,44
25793,39620,25759,8235,2185,5429,1860,1155,41
55462,72481,13089,14662,7519,8078,1011,959,41
148242,55143,21929,12289,10718,4771,2259,1954,54
23737,33078,6849,5278,6888,5133,2714,2620,50
105593,8135,17630,4223,22865,6321,3182,6538,57
48645,34315,75976,13660,14132,10723,5553,2301,57
16045,19954,19193,29309,4139,4445,1671,2514,60
46592,34211,13526,8360,13660,4090,2217,1699,56
35333,9476,8532,27484,11371,6316,3885,1791,53
112130,57800,93667,24012,18501,11222,6255,1579,56
447396,99998,36646,17826,11666,9580,4361,2556,54
56512,36102,18134,6916,11359,2959,6409,1374,47
119775,8302,12400,4180,1958,4013,1249,628,48
22998,55234,9856,6351,6265,9587,3957,5595,54
194240,44582,8137,1916,2069,4894,1479,528,57
850313,113949,79844,15589,21133,8492,9079,6480,56
138513,51013,21070,5623,11978,6001,4620,3350,51
67465,8249,10307,4353,6492,5831,6266,3841,56
13907,37985,61808,11771,5896,4258,4584,3427,50
55881,17407,19731,7185,5291,6798,3380,2011,60
277499,109156,172023,14602,9227,9007,4325,2841,51
131642,14173,17424,4326,11404,8754,3862,5248,51
55009,91193,48805,10689,8850,2588,1406,1742,44
70543,180748,80587,10863,6623,2170,8024,1284,20
41971,24428,27741,28670,11065,5781,4275,2308,17
266752,63709,24661,314,7737,1877,1582,1288,20
59527,50049,9040,7827,6453,6501,5184,4539,40
31383,38368,14877,23328,9758,6076,3202,1831,40
59481,75574,39818,14170,5086,4475,6051,2536,34
73429,65290,101788,1369,17568,4725,3848,4301,37
37420,22018,20674,10397,8156,8853,9951,4245,41
178322,10767,13593,2581,1038,1700,961,574,40
73394,182611,5571,7445,2717,4732,1454,1653,38
244868,91666,27535,3464,4044,16877,4316,2633,51
193376,204172,139026,14007,20467,11387,6053,2224,38
289851,25106,4312,1052,958,1641,882,578,37
250592,58508,41226,22148,29233,28916,8556,3235,54
1329553,125744,1973,33360,143147,108321,16023,4545,67
266002,16609,15679,23727,14687,7019,5943,2376,78
73961,29339,15634,54015,11569,7621,3288,2070,41
19623,57387,21900,9172,13307,3921,4154,1781,34
109550,55851,10694,16793,3158,14649,2301,1263,48
53545,20441,7381,15238,10814,9499,3555,747,61
18843,6715,14415,7810,13618,5229,2580,1944,67
121287,11932,13738,4004,4222,2877,1231,817,75
898364,37374,3218,11060,6840,4453,679,859,67
183412,12691,4495,759,1437,1625,1060,521,61
295707,358016,14179,36460,11867,10416,1702,2107,44
39931,73727,15488,19258,6687,8612,3176,8169,43
1556764,260568,52535,28206,10628,9798,3776,1828,29
541135,193604,87436,36816,13479,11332,5825,4772,34
133624,54405,16865,22466,13764,9614,9171,2817,35
33742,34168,31666,9102,13516,6970,3119,2658,40
183990,9654,7621,3817,5188,2095,1345,760,50
16533,7779,13335,3949,5227,4734,2822,7860,63
165842,44986,1882,3183,4134,1224,2026,968,51
27725,12892,12424,13056,6404,7874,4006,2597,57
84181,37834,13121,30386,16875,8211,2251,3281,57
