delta,theta,lowAlpha,highAlpha,lowBeta,highBeta,lowGamma,highGamma
165842,44986,1882,3183,4134,1224,2026,968
27725,12892,12424,13056,6404,7874,4006,2597
84181,37834,13121,30386,16875,8211,2251,3281
46296,76598,21507,21607,10553,13992,6441,2311
314621,25549,3717,7244,4312,1182,1091,704
10949,15476,5260,17933,4347,6263,2760,1232
40709,8426,88536,18295,6624,5287,2305,1914
84465,40444,58770,7932,16898,14315,4126,2656
103106,41200,45862,13273,16933,23504,2655,2819
482967,102358,9369,21515,9686,11878,5792,4408
80505,22748,11620,21503,13593,8696,3222,1922
68126,22245,30564,10936,19039,5357,2369,2224
24814,25507,2963,4725,8318,10288,2395,1830
115622,38370,35372,21691,7182,7114,3253,3507
39926,44420,2045,7728,5773,1684,676,583
13230,27166,7850,4824,5238,3632,2198,1446
23033,20292,10085,10623,7674,7193,6019,1656
78314,35938,15655,14312,7711,8702,5780,3484
28556,22143,4436,8532,12253,10570,3835,3780
162934,34776,36408,6457,1608,2220,779,1442
216382,44507,3079,20097,26103,11801,4875,2501
40720,19026,12126,3210,13486,8108,1248,1057
31222,28094,13676,12851,6622,5778,2822,6229
90169,15661,8539,13499,5890,6125,2617,3822
127723,11957,1761,5083,2229,5657,2624,1264
6512,5708,3210,4469,9681,19378,3482,1660
170391,151914,12063,6874,22810,6636,1263,4046
112379,28239,10729,7513,3624,2344,1341,1243
55706,24067,5894,18649,5006,2439,1540,1038
133750,29978,9969,8064,4337,6099,5069,1200
39206,22642,14279,11774,4889,4373,2004,3215
1220851,37015,31808,19295,5702,4956,1707,2659
686303,212212,87719,50551,31982,21616,5766,3529
147062,29979,15775,9726,7349,1967,793,821
340034,190341,27129,24320,19590,10276,8374,10415
545351,71228,62190,49815,10257,30173,8640,22412
2687161,281738,14703,56784,33129,24141,33564,32239
840144,226647,105908,63433,90973,20324,82602,39128
1346735,267198,66218,118480,146286,87335,67025,27970
1377918,662576,105272,17175,18817,31687,11358,20858
424357,88341,29565,6618,18395,28884,4828,14492
721373,40313,325,15608,5487,4780,3834,1031
122528,46315,17129,48265,7701,9615,17093,2784
549386,92323,43082,15446,9147,13657,3389,5299
221155,29153,11734,2597,1391,1378,1120,566
62796,55993,2766,6428,5356,12979,8603,5058
105615,20475,4663,8399,4079,3438,1720,1103
