delta,theta,lowAlpha,highAlpha,lowBeta,highBeta,lowGamma,highGamma
957016,154485,26512,59630,10603,11011,3874,1057
409136,25093,5128,14205,12541,8733,12266,2113
1577265,165884,59695,43263,79653,82335,45019,5385
910175,96139,11578,30995,11067,8364,3814,3445
2153964,74010,35310,11179,9933,14056,6760,1384
2475764,241268,16191,82509,26871,19673,19071,4731
236710,90576,6916,32071,13462,13619,10774,1381
498038,82932,2270,5918,41335,7940,4557,2135
411234,589531,64692,71567,47313,42918,27033,7184
1466117,394951,123028,70353,28136,27359,24276,6874
682014,178943,34192,121456,136581,67078,25436,7102
2115295,322273,112010,17972,44365,48174,55731,6099
1217957,250771,46083,23813,35225,30920,46525,8816
745683,276183,58277,69072,34477,19708,8818,6971
2332141,180852,86315,24075,32512,22635,4103,4145
249363,588566,269239,121673,123468,46003,31295,33508
829678,35662,7514,5761,16548,5260,2714,1836
697063,143919,3348,14404,28245,16851,36300,5585
1427971,224299,12070,15179,32048,55439,17905,1769
1173413,477282,79022,36805,29643,40149,57133,12781
672423,232154,22545,18889,17304,16480,5218,1537
256928,86664,24883,3886,16262,14641,2926,2657
1619959,622396,548715,158985,73976,22800,30771,14082
2361331,372126,91479,103403,53338,36278,20284,7149
2092812,271771,75154,29008,33711,75915,61711,5055
1578328,179778,97319,61385,51467,110082,16657,9710
234322,66688,18189,6018,8418,15356,6065,1998
329782,42532,32839,22704,26959,9875,7412,1071
202334,11693,2725,7086,3379,5824,1301,594
136293,115147,17433,36749,8522,8987,5222,1660
578943,26730,25595,13605,17677,8344,3755,783
1607042,461810,29009,45760,30467,48236,19145,2382
