attention,meditation,delta,theta,lowAlpha,highAlpha,lowBeta,highBeta,lowGamma,highGamma,result
56,47,253543,22327,8003,12493,8003,8860,2456,3699,1
57,60,63770,3864,5136,4152,5136,790,1371,1262,1
64,61,280600,26333,7398,7422,7398,8418,8784,3810,1
63,51,24519,17276,2154,3653,2154,3829,2569,6384,1
64,48,72464,26405,3624,10183,3624,9840,2956,2910,1
75,38,34670,14625,10511,4688,10511,5844,3287,3465,1
74,40,13523,15798,3727,7834,3727,4643,3453,3155,1
75,40,75998,4969,1245,1122,1245,1447,1075,861,1
70,48,94216,16697,19593,9378,19593,8777,6754,2136,1
66,43,15138,31963,6978,6521,6978,4542,2377,3355,1
64,38,107302,55938,10737,6613,10737,11041,6956,9399,1
51,43,629938,142319,12202,71554,12202,9035,9360,11520,1
44,47,793860,37882,27608,36922,27608,10086,11563,7141,1
48,44,56341,32448,1974,7174,1974,6171,6265,9383,1
38,38,612405,421861,31412,21927,31412,21666,32457,15616,1
40,29,982665,396717,60268,18953,60268,25820,45509,21793,1
40,4,895026,109361,4310,4632,4310,11767,18154,35327,1
35,1,135438,33361,2214,2228,2214,3076,5369,3646,1
57,8,94531,7603,1948,4794,1948,8040,3489,2580,1
67,11,1473533,233561,31845,38220,31845,52807,32605,11727,1
70,17,927945,137812,20423,5596,20423,24717,15358,4273,1
66,21,1755948,322597,30445,27917,30445,15853,19996,31514,1
53,26,112247,15755,12147,2332,12147,3834,8003,5820,1
51,29,952140,73484,4996,12686,4996,7133,9347,5372,1
51,40,871083,88828,45395,19388,45395,6940,10391,7652,1
43,24,879697,636299,34422,34185,34422,31348,31800,23174,1
37,23,256106,72809,8786,8465,8786,12426,18418,23303,1
35,20,95329,75493,10827,1819,10827,4728,7694,4859,1
40,14,107080,11209,3391,1323,3391,1156,1129,951,1
43,34,589346,25651,17027,24042,17027,6140,12861,7713,1
38,47,150142,12858,1524,16778,1524,2353,1570,890,1
47,60,294064,67057,64454,28861,64454,23571,5449,13458,1
47,61,791222,638609,50940,274587,50940,66343,65537,17421,1
41,56,1265119,33636,10366,9419,10366,2446,863,733,1
38,38,85848,25758,1013,2142,1013,1694,621,707,1
30,40,217061,23395,17622,12417,17622,4046,1289,2954,1
21,35,1171271,499164,38054,93687,38054,14672,7477,5794,1
27,30,2456375,191032,66140,24749,66140,25269,12163,21295,1
30,47,748049,95789,58473,129424,58473,24227,28053,26234,1
24,37,958720,290207,49377,36022,49377,12678,8477,4116,1
24,35,1154050,131753,24267,9473,24267,4178,1457,1709,1
20,40,39641,39194,16496,6644,16496,2841,1101,415,1
21,44,59560,6178,6030,9591,6030,2246,639,300,1
23,64,264926,12655,33315,40400,33315,3751,2980,1446,1
16,84,76959,19857,16077,21508,16077,1983,2913,1568,1
7,80,122048,71140,30955,27334,30955,4782,2105,3025,1
14,61,250270,85239,18901,13095,18901,13096,25791,3537,1
30,47,891044,163093,11994,12599,11994,18453,10680,9423,1
43,29,595547,66544,2070,13865,2070,9329,5242,5563,1
53,20,82898,115286,21777,9709,21777,16070,21086,29391,1
43,14,603525,195233,18055,20933,18055,7731,46960,23892,1
44,24,767333,39491,4398,25069,4398,9266,10642,3966,1
38,26,83843,8140,1231,689,1231,458,629,480,1
30,34,44725,18030,9843,3139,9843,1959,1050,557,1
48,40,28192,20446,5253,7106,5253,7187,2217,1569,1
37,40,1298855,318175,141832,44657,141832,18173,13549,12424,1
34,53,558773,75954,91004,14652,91004,6942,3086,1613,1
23,60,1721768,149647,138081,80655,138081,6993,3201,1418,1
20,64,92503,69602,54706,14180,54706,21222,9582,2720,1
27,64,758109,60639,20867,37918,20867,9705,15238,4869,1
34,60,1177156,16922,9788,9114,9788,2653,2456,4036,1
51,51,1026186,252521,90576,55547,90576,52415,6301,9569,1
38,44,1330903,370088,23815,89086,23815,16153,57873,6705,1
38,48,1776964,248778,61497,294187,61497,53431,82672,53319,1
34,47,195247,16484,2170,9387,2170,1262,779,488,1
21,47,301930,73810,20755,10622,20755,3505,791,517,1
30,57,288120,94564,54546,71407,54546,18680,10399,7701,1
13,61,484902,152285,94166,134012,94166,4653,8942,712,1
14,67,77988,5138,6558,2078,6558,648,152,193,1
8,77,275922,114879,151882,21450,151882,4867,4810,1981,1
10,67,176694,5118,1250,1101,1250,721,448,219,1
24,54,186467,151422,26005,18464,26005,13947,16561,8180,1
24,41,863944,305247,32552,40922,32552,20115,10285,13868,1
